Time;Campaign;File Name;Longitude;Latitude;RSRP;RSRQ;PCI LTE;Technology;Home Operator;DL EARFCN
2022-08-20 12:05:58.907;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-74.3;-6.9;240;LTE;XL;376
2022-08-20 12:05:58.958;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00695500;-3.45026700;-74.3;-9;59;LTE;Telkomsel;1850
2022-08-20 12:05:59.205;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-85;-5.3;298;LTE;Fren/Hepi;39194
2022-08-20 12:05:59.205;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-86.6;-7.6;298;LTE;Fren/Hepi;39050
2022-08-20 12:05:59.246;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-90.6;-14.6;446;LTE;Indosat Ooredoo Hutchison;1625
2022-08-20 12:05:59.246;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-95.5;-9;446;LTE;Indosat Ooredoo Hutchison;3652
2022-08-20 12:05:59.508;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-73.3;-7.6;240;LTE;XL;376
2022-08-20 12:05:59.508;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-81.2;-9.2;240;LTE;XL;1325
2022-08-20 12:05:59.560;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1525-5443-S.mf;116.00695500;-3.45026700;-74.9;-8.9;59;LTE;Telkomsel;1850
2022-08-20 12:05:59.806;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-85.6;-5.3;298;LTE;Fren/Hepi;39194
2022-08-20 12:05:59.806;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1516-2151-S.mf;116.00695500;-3.45026700;-86;-8.6;298;LTE;Fren/Hepi;39050
2022-08-20 12:05:59.848;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-89.6;-13.2;446;LTE;Indosat Ooredoo Hutchison;1625
2022-08-20 12:05:59.848;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1519-2687-S.mf;116.00695500;-3.45026700;-92.3;-7.9;446;LTE;Indosat Ooredoo Hutchison;3652
2022-08-20 12:06:00.109;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-72;-8.3;240;LTE;XL;376
2022-08-20 12:06:00.109;BP3_ST_00_Data Test;2022-08-20-12-00-13-3101-1402-1503-6975-S.mf;116.00695500;-3.45026700;-82.3;-6.9;240;LTE;XL;1325
